c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000034r.djvu;49
Anhelitum;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000035l.djvu;50
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000035r.djvu;51
Annonae gravitas;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000036l.djvu;52
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000036r.djvu;53
Antecoena;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000037l.djvu;54
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000037r.djvu;55
Antiphrasis;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000038l.djvu;56
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000038r.djvu;57
Apheteria;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000039l.djvu;58
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000039r.djvu;60
Apotelesma;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000040l.djvu;60
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000040r.djvu;61
Aprieus;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000041l.djvu;62
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000041r.djvu;63
Aratrum simplex;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000042l.djvu;64
c.d.;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000042r.djvu;65
Arcula;http://ebuw.uw.edu.pl/Content/283674/Kt2i.djvu?djvuopts&page=00000043l.djvu;66
